id,question,choice1,choice2,choice3,choice4,answer,point,title,explanation
164,I want you (     ) this work by tomorrow.,to finish,finishing,finish,finished,to finish,POINT048,ＳＶＯ＋toＶ～,「want + 目的語 + to不定詞」で「～に…してもらいたい」という意味です。|SVOCの構文で、Cに不定詞が来ます。|使役動詞と違い、toが必要です。
165,The doctor advised me (     ) smoking.,to stop,stopping,stop,stopped,to stop,POINT048,ＳＶＯ＋toＶ～,「advise + 目的語 + to不定詞」で「～に…するよう忠告する」という意味です。|多くの動詞がこのSVOC構文を取ります。|suggest は この構文を取らないので注意。
166,"The boy turned on his father's computer, though he had been told (　　).",to do not,to not,not to,not do it,not to,POINT048,ＳＶＯ＋toＶ～,tell + O + not to。
167,It was careless (　　) her front door unlocked all last night.,of her to leave,for her leaving,for her to leave,of her leave,of her to leave,POINT050,不定詞の意味上の主語②,人の性質を表す形容詞はof。
168,She made me (     ) the truth.,tell,to tell,telling,told,tell,POINT051,使役動詞（原形不定詞）,使役動詞makeの後は原形不定詞（toなし不定詞）を使います。|「make + 目的語 + 原形不定詞」で「～に…させる」という意味です。|受動態では「be made to do」とtoが復活します。
169,Mary's father will not (　　) her do any part-time work until after her exams are over.,consent,let,permit,allow,let,POINT051,使役動詞（原形不定詞）,使役動詞。
170,Mr. Jones (　　) the students repeat the same phrase without looking at their textbooks.,got,ordered,made,forced,made,POINT051,使役動詞（原形不定詞）,使役動詞「〜させる」
171,"Because my mother was sick in bed, she had me (　　) the dishes after dinner.",wash,have washed,to wash,washed,wash,POINT051,使役動詞（原形不定詞）,使役動詞「〜してもらう」
172,The bus was so crowded that I (　　) while I was on it.,had my foot to be stepped on,was stepped on my foot,had to be stepped on my foot,had my foot stepped on,had my foot stepped on,POINT051,使役動詞（原形不定詞）,「足を踏まれた」被害。
173,I don't know how I can get my children (　　) their homework.,done,to do,do,did,to do,POINT051,使役動詞（原形不定詞）,「〜させる」
174,Last night I heard my sister (　　) with you on the phone.,talk,talks,to talk,be talking,talk,POINT052,知覚動詞,hear + O + 原形「〜するのを聞く」
175,He seems (     ) ill.,to be,being,be,been,to be,POINT053,～ようだシリーズ,「seem + to不定詞」で「～のようだ」という意味です。|appear toも同じ用法です。|状態動詞beも不定詞の形を取ります。
176,The president of the company announced today that a new store is (　　) next year.,to be built,building,to be building,built,to be built,POINT055,様々な形の不定詞～進行形・受動態・否定～,「建設される予定」受動態の不定詞。
177,I don't know (     ) to solve this problem.,how,what,which,that,how,POINT056,疑問詞 toV～シリーズ,「疑問詞 + to不定詞」で「～すべきか」という意味になります。|how to solve = どのように解決すべきか|what to do = 何をすべきか、which to choose = どちらを選ぶべきか、などがあります。
178,The doctor (　　) me to go home and to go to bed.,suggested,agreed,said,advised,advised,POINT056,疑問詞 toV～シリーズ,「〜するよう助言する」
179,He (　　) me to take a day off.,allowed,admitted,forgave,let,allowed,POINT056,疑問詞 toV～シリーズ,「〜することを許可する」
180,What on earth (　　) you to change your mind so suddenly?,caused,had,let,made,caused,POINT056,疑問詞 toV～シリーズ,「〜させる原因となる」
181,Illness (　　) him to resign.,compelled,made,was prevented,forwarded,compelled,POINT056,疑問詞 toV～シリーズ,「〜することを強いる」
182,The bus was late again! I had (　　) it to arrive at 6 o'clock.,liked,expected,hoped,waited,expected,POINT056,疑問詞 toV～シリーズ,「〜することを期待する」
183,We all tried to (　　) her to dance.,make,claim,persuade,argue,persuade,POINT056,疑問詞 toV～シリーズ,「〜するよう説得する」
184,"In many countries, drivers are (　　) to wear seatbelts at all times.",exposed,compared,required,fined,required,POINT056,疑問詞 toV～シリーズ,「〜することを要求される」
185,Her parents don't want (　　) married.,that she got,that she gets,her to get,her get,her to get,POINT056,疑問詞 toV～シリーズ,「〜してほしい」
186,"The food was delicious, (　　) the wine. The guests must have enjoyed the party.",the less,as far as,to say nothing of,on behalf of,to say nothing of,POINT057,独立不定詞,「〜は言うまでもなく」
187,"Strange (　　), I didn't really enjoy the musical.",saying,say,said,to say,to say,POINT057,独立不定詞,Strange to say「奇妙なことに」
188,"To (　　) the truth, I still haven't finished my homework.",say,tell,mention,speak,tell,POINT057,独立不定詞,To tell the truth「実を言うと」
189,"If you (　　) your dream, you must study much harder.",are to realize,would be realize,are realized,are realizing,are to realize,POINT058,be to 不定詞,「〜するつもりなら」条件。
190,Mary is easy (　　).,to work,to work with you,to work with her,to work with,to work with,POINT059,難易度を表す形容詞＋ toV～,「一緒に働きやすい」前置詞必要。
191,The problem is too difficult (     ).,to solve,solving,solve,solved,to solve,POINT061,不定詞の熟語①,「too + 形容詞 + to不定詞」で「～すぎて…できない」という意味です。|この文は「その問題は難しすぎて解けない」という意味になります。|文末のitは不要です（不定詞の意味上の目的語が主語と同じ場合）。
192,I'm going to study harder (　　) pass my exams in June.,for to,in order that,in order to,so to,in order to,POINT061,不定詞の熟語①,「〜するために」
193,The girl was so kind (　　) me to the station.,for taking,that it takes,as to take,in order to take,as to take,POINT062,不定詞の熟語②,「とても〜なので」
194,She kept (     ) for an hour.,talking,talk,to talk,talked,talking,POINT063,動名詞の基本,「keep + 動名詞」で「～し続ける」という意味です。|継続を表す動詞は動名詞を取ります。|= continue to talk/talkingとも言えます。
195,I'm thinking of (     ) a new car.,buying,buy,to buy,bought,buying,POINT063,動名詞の基本,「think of + 動名詞」で「～することを考えている」という意味です。|ofは前置詞なので動名詞が続きます。|consider + 動名詞も同様の意味です。
196,She insisted on (     ) the truth.,telling,tell,to tell,told,telling,POINT063,動名詞の基本,「insist on + 動名詞」で「～することを主張する」という意味です。|onは前置詞なので動名詞が続きます。|persist inも同様の構文です。
197,I can't stand (     ) in a long line.,waiting,wait,to wait,waited,waiting,POINT063,動名詞の基本,「can't stand + 動名詞」で「～することに耐えられない」という意味です。|= can't bear + 動名詞とも言えます。|感情的な動詞は動名詞を取ることが多いです。
198,( ) true to your principles is much better than following other people blindly.,Be,Being,Having been,To have been,Being,POINT063,動名詞の基本,動名詞は文の主語になることができます。「原則に忠実であること」という意味で、動名詞Beingが適切です。
199,You can improve your health by ( ) more exercise.,doing,does,to do,do,doing,POINT063,動名詞の基本,前置詞byの後には動名詞が続きます。「運動をすることによって」という意味になります。
200,He is fond of (　　) soccer.,to play,playing,play,played,playing,POINT063,動名詞の基本,be fond of + 動名詞。
201,"If you insist ( ), you must pay my train fare.",on my coming,me to come,me coming,on me to come,on my coming,POINT065,動名詞の意味上の主語と否定語の位置,insist on + 動名詞の形。所有格myを使って「私が来ること」を表現します。
202,"In the event of ( ), we'll have to find someone else.",Jim not coming,coming not Jim,not Jim coming,Jim coming not,Jim not coming,POINT065,動名詞の意味上の主語と否定語の位置,動名詞の意味上の主語は所有格または目的格で表します。否定語notは動名詞の直前に置きます。
203,"When I had dinner with Tom, I got angry at (　　) on his cell phone throughout the meal.",he talks,he talked,he talking,his talking,his talking,POINT065,動名詞の意味上の主語と否定語の位置,所有格 + 動名詞。
204,I am ashamed (　　) kind to the old woman on the train.,of having been not,not of having been,of not having been,of having not been,of not having been,POINT065,動名詞の意味上の主語と否定語の位置,not + 動名詞。完了形の否定。
205,She remembered the teacher (　　) it.,talk about,to talk about,talking about,talks about,talking about,POINT065,動名詞の意味上の主語と否定語の位置,「〜したことを覚えている」過去の記憶。
206,I do not like ( ) those things by him in such a rude manner.,being told,having told,telling,to tell,being told,POINT066,動名詞の受動態,「彼にそのようなことを言われること」という受動の意味で、being toldが適切です。
207,"My brother denied (　　) my model plane, even though he was the only person who was in my room at that time.",being broken,to breaking,to break,having broken,having broken,POINT067,時制の不一致,「〜したことを否定する」完了形。
208,I'm looking forward to (     ) from you.,hearing,hear,heard,be heard,hearing,POINT068,動名詞を使った重要表現①,look forward toのtoは前置詞なので、後ろには動名詞が来ます。|「～を楽しみにしている」という意味です。|不定詞のtoと混同しないよう注意が必要です。
209,I'm used to (     ) up early.,getting,get,got,gotten,getting,POINT068,動名詞を使った重要表現①,「be used to + 動名詞」で「～することに慣れている」という意味です。|used to + 原形不定詞（以前は～した）と混同しないよう注意。|toは前置詞なので動名詞が続きます。
210,It's no use (     ) over spilt milk.,crying,cry,to cry,cried,crying,POINT068,動名詞を使った重要表現①,「It's no use + 動名詞」で「～しても無駄だ」という意味です。|動名詞を使う重要な慣用表現です。|= There's no point in + 動名詞とも言えます。
211,I am looking forward to ( ) you on Sunday.,have,see,seeing,have seen,seeing,POINT068,動名詞を使った重要表現①,look forward toのtoは前置詞なので、後には動名詞が続きます。
212,I am ( ) to staying up late at night.,accustomed,enthusiastic,ordinary,usual,accustomed,POINT068,動名詞を使った重要表現①,be accustomed to + 動名詞で「〜することに慣れている」という意味です。
213,"I can use a computer, but when it comes ( ) them, I know nothing.",repair,for repairing,to repairing,being repaired,to repairing,POINT068,動名詞を使った重要表現①,when it comes to + 動名詞/名詞で「〜のこととなると」という意味です。
214,No wonder your parents objected ( ) in such extravagance.,you indulge,to your indulging,to you to indulge,you indulged,to your indulging,POINT068,動名詞を使った重要表現①,object to + 動名詞で「〜することに反対する」。所有格yourを使います。
215,( ) some coffee?,How do you say having,How do you say to have,What do you say to have,What do you say to having,What do you say to having,POINT068,動名詞を使った重要表現①,What do you say to + 動名詞で「〜するのはどうですか」という提案を表します。
216,You'll have no difficulty ( ) my house.,to find,for finding,to finding,finding,finding,POINT068,動名詞を使った重要表現①,have difficulty (in) + 動名詞で「〜するのに困難がある」。inは省略可能です。
217,There is ( ) when an earthquake will happen.,nothing to tell,not to tell,no telling,no teller,no telling,POINT068,動名詞を使った重要表現①,There is no + 動名詞で「〜することはできない」という意味です。
218,It is no ( ) trying to deceive me.,worth,longer,use,point,use,POINT068,動名詞を使った重要表現①,It is no use + 動名詞で「〜しても無駄だ」という意味です。
219,There is no ( ) continuing such a fruitless argument.,aim for,purpose of,point in,meaning on,point in,POINT068,動名詞を使った重要表現①,There is no point in + 動名詞で「〜しても意味がない」という意味です。
220,The line is dead. There is no use (　　) to use the phone.,trying,be trying,to try,have to try,trying,POINT068,動名詞を使った重要表現①,「〜しても無駄だ」
221,There is no point (　　) an expensive personal computer if you never use it.,for having,in having,with having,to have,in having,POINT068,動名詞を使った重要表現①,「〜しても無意味だ」
222,She is not used to (　　) formal letters.,writing,writes,write,written,writing,POINT068,動名詞を使った重要表現①,「〜に慣れている」前置詞to。
223,She did not object (　　) late at night.,to my working,my working,to me work,me work,to my working,POINT068,動名詞を使った重要表現①,「〜に反対する」toは前置詞。
224,"When it comes (　　), John is definitely the best in class.",for running,for run,to running,to run,to running,POINT068,動名詞を使った重要表現①,「〜に関しては」toは前置詞。
225,What do you say (　　) tennis on Sunday?,to playing,to play,for playing,about play,to playing,POINT068,動名詞を使った重要表現①,「〜はどうですか」提案。
226,People often have great (　　) my handwriting.,reading to trouble,reading trouble,trouble to read,trouble reading,trouble reading,POINT068,動名詞を使った重要表現①,「〜するのに苦労する」
227,"They are very busy (　　) their homework, aren't they?",to do,to doing,being done,doing,doing,POINT068,動名詞を使った重要表現①,「〜するのに忙しい」
228,There is (　　) when John will show up.,no telling,telling not,not telling,not to tell,no telling,POINT068,動名詞を使った重要表現①,「〜することはできない」
229,Would you mind (     ) the window?,opening,open,to open,opened,opening,POINT069,動名詞を使った重要表現②,"「Would you mind + 動名詞」で「～していただけませんか」という丁寧な依頼です。|mindは動名詞のみを目的語に取る動詞です。|否定の返答は「No, not at all」などになります。"
230,It's worth (     ) this book.,reading,read,to read,reads,reading,POINT069,動名詞を使った重要表現②,「be worth + 動名詞」で「～する価値がある」という意味です。|特殊な構文で、動名詞のみを取ります。|= It's worthwhile to read/readingとも言えます。
231,America was busy ( ) the Civil War in the 19th century.,fight,fighting,for fighting,to fight,fighting,POINT069,動名詞を使った重要表現②,be busy (in) + 動名詞で「〜するのに忙しい」。inは省略可能です。
232,This novel is worth ( ).,read,reading,to read,to be read,reading,POINT069,動名詞を使った重要表現②,be worth + 動名詞で「〜する価値がある」。受動的な意味でも能動形を使います。
233,It is a profession ( ) his own choosing.,of,on,at,in,of,POINT069,動名詞を使った重要表現②,of one's own + 動名詞で「自分自身で〜した」という意味です。
234,I don't feel ( ) studying on such a beautiful day.,like,from,against,for,like,POINT069,動名詞を使った重要表現②,feel like + 動名詞で「〜したい気がする」という意味です。
235,It ( ) saying that health is above wealth.,goes on to,goes without,is to be,is going with,goes without,POINT069,動名詞を使った重要表現②,It goes without saying thatで「〜は言うまでもない」という慣用表現です。
236,"On ( ) the classroom, I asked my friend what was going on.",enter,entered,entering,entrance,entering,POINT069,動名詞を使った重要表現②,on + 動名詞で「〜するとすぐに」という意味を表します。
237,She didn't mean to make him feel like (　　).,crying,cry,to cry,cried,crying,POINT069,動名詞を使った重要表現②,「〜したい気がする」
238,"(　　), she smiled quietly to herself.",On hearing the news,Of hearing the news,To hearing the news,With the news hearing,On hearing the news,POINT069,動名詞を使った重要表現②,「〜するとすぐに」
239,"(　　) trying to make a decision, it is important to keep a proper sense of priority.",In,During,By,At,In,POINT069,動名詞を使った重要表現②,「〜する際に」
240,Would you mind (　　) the window for me? I feel a little cold.,closing,close,closed,to close,closing,POINT069,動名詞を使った重要表現②,「〜していただけませんか」
241,I enjoyed (     ) to music.,listening,listen,to listen,listened,listening,POINT070,動名詞と不定詞①,"「enjoy + 動名詞」で「～することを楽しむ」という意味です。|enjoyは動名詞のみを目的語に取ります。|finish, avoid, mindも同様です。"
242,It might be wise of you to avoid (　　) abroad next year.,studying in,to study,studying,to study in,studying,POINT070,動名詞と不定詞①,「〜を避ける」動名詞を取る。
243,My friend had a nice time in England and enjoyed (　　) a different culture.,experiencing,to experience,experiences,of experiencing,experiencing,POINT070,動名詞と不定詞①,「〜を楽しむ」動名詞を取る。
244,Have you finished (　　) your essay?,to have written,to write,writing,to be writing,writing,POINT070,動名詞と不定詞①,「〜し終える」動名詞を取る。
245,The number of young people who are (　　) to make their pension and national health insurance payments is on the rise.,rejecting,refusing,discharging,excluding,refusing,POINT070,動名詞と不定詞①,「〜することを拒否する」
246,I decided (     ) abroad next year.,to study,studying,study,studied,to study,POINT071,動名詞と不定詞②,"decideは不定詞を目的語に取る動詞です。|「～することを決める」という未来志向の意味があります。|hope, plan, promiseなども同様です。"
247,He pretended (     ) asleep.,to be,being,be,been,to be,POINT071,動名詞と不定詞②,「pretend + to不定詞」で「～のふりをする」という意味です。|未来志向の動詞は不定詞を取ります。|状態を表すにはto beを使います。
248,She agreed (     ) me with my work.,to help,helping,help,helped,to help,POINT071,動名詞と不定詞②,"「agree + to不定詞」で「～することに同意する」という意味です。|約束・決定系の動詞は不定詞を取ります。|offer, refuse, promiseも同様です。"
249,How much can you (　　) to spend on your vacation?,account,afford,contribute,invest,afford,POINT071,動名詞と不定詞②,「〜する余裕がある」
250,My grandfather was hospitalized so I decided (　　) as often as possible.,him visited,to visit him,visiting him,visit him,to visit him,POINT071,動名詞と不定詞②,「〜することに決める」不定詞。
251,Ken has never failed (　　) a birthday present to his mother.,of giving,for giving,to give,give,to give,POINT071,動名詞と不定詞②,「〜し損なう」不定詞を取る。
252,I hope (　　) to Hawaii next month.,going,to go,for going,with going,to go,POINT071,動名詞と不定詞②,「〜することを望む」不定詞。
253,I could tell David was only (　　) to read because his book was upside down.,pretending,deceiving,behaving,acting,pretending,POINT071,動名詞と不定詞②,「〜するふりをする」
254,I remember (     ) him somewhere before.,seeing,see,to see,saw,seeing,POINT072,動名詞と不定詞③,「remember + 動名詞」は「～したことを覚えている」（過去の行為）。|「remember + to不定詞」は「～することを覚えている」（これからの行為）。|文脈から過去の行為なので動名詞が正解です。
255,"She tried (     ) the door, but it was locked.",opening,open,to open,opened,to open,POINT072,動名詞と不定詞③,「try to V」は「～しようとする」（試みる）|「try Ving」は「試しに～してみる」（実際にやる）|文脈から「開けようとした」ので不定詞が正解
256,I'll never forget (     ) her for the first time.,meeting,meet,to meet,met,meeting,POINT072,動名詞と不定詞③,「forget + 動名詞」は「～したことを忘れる」（過去の行為）|「forget + to不定詞」は「～することを忘れる」（これからの行為）|「初めて会ったこと」なので動名詞が正解
257,She stopped (     ) a rest.,to take,taking,take,took,to take,POINT072,動名詞と不定詞③,「stop to V」は「～するために立ち止まる」（目的）|「stop Ving」は「～することをやめる」（中止）|「休憩を取るために」なので不定詞が正解
258,I regret ( ) harder.,not had worked,not have worked,not having worked,not to work,not having worked,POINT072,動名詞と不定詞③,regret + 動名詞で「〜したことを後悔する」。完了形の動名詞で過去の行為を表します。
259,"The doctor has advised me not to eat eggs anymore, so I've stopped (　　) them.",to buy,to have bought,for buying,buying,buying,POINT072,動名詞と不定詞③,「〜するのをやめる」動名詞。
260,Remember (　　) your books back to the library by the end of the week.,to be taking,to take,take,taking,to take,POINT072,動名詞と不定詞③,「忘れずに〜する」これからのこと。
261,I'll never forget (　　) the beautiful sea from the hill on my last trip.,seeing,see,seen,to see,seeing,POINT072,動名詞と不定詞③,「〜したことを忘れない」過去の経験。
262,I forgot (　　) by the supermarket and so have nothing to eat now.,stopping,to have stopped,to stop,having stopped,to stop,POINT072,動名詞と不定詞③,「〜し忘れる」すべきことをしなかった。
263,I regret (　　) him my dictionary. I cannot do my work without it.,lending,to lend,to have lent,lent,lending,POINT072,動名詞と不定詞③,「〜したことを後悔する」過去の行為。
264,I regret (　　) that I cannot join your team.,saying,to say,said,say,to say,POINT072,動名詞と不定詞③,「残念ながら〜」これから言うこと。
265,I'm sorry. I didn't mean (　　) on your foot.,to stepping,step,to step,stepping,to step,POINT072,動名詞と不定詞③,「〜するつもり」意図。
266,"After playing with sand, your hands need (　　).",washing,being washed,to be washing,to wash,washing,POINT072,動名詞と不定詞③,「〜される必要がある」= to be washed。
267,"My watch loses ten minutes a day, so it needs (　　).",being repaired,to be repaired,repaired,to repair,to be repaired,POINT072,動名詞と不定詞③,「修理される必要がある」
268,"If you intend to climb such a high mountain, these shoes want (　　).",being repaired,to repair,repairing,to have repaired,repairing,POINT072,動名詞と不定詞③,「〜される必要がある」= need。
269,I told her to shut up but she (　　) on talking and talking.,put,came,went,tried,went,POINT072,動名詞と不定詞③,「〜し続ける」継続。
270,The man (     ) over there is my uncle.,standing,stood,stands,stand,standing,POINT073,現在分詞の基本,現在分詞standingが後ろから名詞manを修飾しています。|「あそこに立っている男性」という意味です。|能動的・進行中の意味を表すのが現在分詞です。
271,The building (     ) last year is our new library.,built,building,build,builds,built,POINT073,現在分詞の基本,過去分詞builtが後ろから名詞buildingを修飾しています。|「去年建てられた建物」という受動的な意味です。|受動態の意味なので過去分詞を使います。
272,That man ( ) across the street is my neighbor.,walk,walking,to walk,is walking,walking,POINT073,現在分詞の基本,現在分詞walkingが名詞manを後ろから修飾しています。「通りを渡っている男性」という意味です。
273,Don't make any noise near the (　　) baby.,sleeper,sleep,slept,sleeping,sleeping,POINT073,現在分詞の基本,「眠っている赤ちゃん」進行の意味。
274,Yesterday a friend of mine (　　) in China came to Tokyo to attend a meeting.,lives,living,to live,lived,living,POINT073,現在分詞の基本,「中国に住んでいる友人」
275,The girl (     ) in the accident was my sister.,injured,injuring,injure,injures,injured,POINT074,過去分詞の基本,過去分詞injuredが後ろから名詞girlを修飾しています。|「事故で怪我をした少女」という受動的な意味です。|受動的・完了の意味を表すのが過去分詞です。
276,The letter (     ) by her made me happy.,written,writing,write,wrote,written,POINT074,過去分詞の基本,過去分詞writtenが後ろから名詞letterを修飾しています。|「彼女によって書かれた手紙」という受動的な意味です。|byがあることからも受動態と分かります。
277,The boy (     ) Tom is my cousin.,called,calling,call,calls,called,POINT074,過去分詞の基本,過去分詞calledが後ろから名詞boyを修飾しています。|「トムと呼ばれる少年」という意味です。|= The boy who is called Tomの省略形です。
278,The problem (     ) yesterday was very difficult.,discussed,discussing,discuss,discusses,discussed,POINT074,過去分詞の基本,過去分詞discussedが後ろから名詞problemを修飾しています。|「昨日議論された問題」という受動的な意味です。|時の副詞があっても過去分詞を使います。
279,The carpenter repaired the ( ) chair.,break,breaking,broken,breakable,broken,POINT074,過去分詞の基本,「壊れた椅子」という受動的な意味なので、過去分詞brokenが正解です。
280,Some of the people ( ) to the ceremony couldn't come.,were invited,who invited,inviting,invited,invited,POINT074,過去分詞の基本,過去分詞invitedが名詞peopleを修飾。「式に招待された人々」という受動的な意味です。
281,Whether there is enough food ( ) I am not sure at this moment.,leaving,last,left,remained,left,POINT074,過去分詞の基本,「残された食べ物」という意味で、過去分詞leftが正解です。leave-left-leftの過去分詞です。
282,"""Do you know that Chris had a skiing accident?"" ""Yes. He has a (　　) leg, but I think he'll be OK.""",broken,broke,break,breaking,broken,POINT074,過去分詞の基本,「骨折した脚」完了・受動の意味。
283,The language (　　) in New Zealand is mainly English.,be spoken,spoken,speaking,be speaking,spoken,POINT074,過去分詞の基本,「話されている言語」受動の意味。
284,There was an expensive watch (　　) in the locker room.,to be leaving,to have left,left,leaving,left,POINT074,過去分詞の基本,「置き忘れられた時計」
285,He remained ( ) on the bed.,lying,laid,lay,laying,lying,POINT075,補語になる分詞（第２文型）,remainの補語として現在分詞lyingを使います。「横たわっている状態のままでいた」という意味です。
286,Please remain (　　) for a couple of minutes.,to seat,in seat,seated,seating,seated,POINT075,補語になる分詞（第２文型）,「座ったままでいる」状態。
287,I had my car (     ) yesterday.,repaired,repair,repairing,to repair,repaired,POINT076,補語になる分詞（第５文型）①,「have + 目的語 + 過去分詞」で「～を…してもらう」という意味です。|車は「修理される」側なので、過去分詞repairedを使います。|getでも同じ構文が作れます。
288,I am sorry to have kept you (　　).,waited,waiting,wait,to wait,waiting,POINT076,補語になる分詞（第５文型）①,「待たせ続ける」継続。
289,You should keep the door (　　) at all times.,locked,to lock,locking,lock,locked,POINT076,補語になる分詞（第５文型）①,「鍵をかけた状態に保つ」
290,We are going to have the house (　　) this weekend.,painted,to paint,to be painted,painting,painted,POINT076,補語になる分詞（第５文型）①,「〜してもらう」受動の関係。
291,Could you give me a ride to the station tomorrow morning? I must get my car (　　) at the garage.,repairing,repaired,to repair,repair,repaired,POINT076,補語になる分詞（第５文型）①,「修理してもらう」
292,"A lazy student stood in front of his stern teacher and said, ""I'm sorry. I could not get the homework (　　) by the deadline.""",doing,done,be done,to do,done,POINT076,補語になる分詞（第５文型）①,「宿題を終わらせる」
293,I saw him (     ) the street.,crossing,crossed,to cross,cross,crossing,POINT077,補語になる分詞（第５文型）②,「see + 目的語 + 現在分詞」で「～が…しているのを見る」という意味です。|進行中の動作を強調する場合は現在分詞を使います。|原形不定詞なら動作全体を見たことになります。
294,I heard my name (     ).,called,calling,call,to call,called,POINT077,補語になる分詞（第５文型）②,「hear + 目的語 + 過去分詞」で「～が…されるのを聞く」という意味です。|名前は「呼ばれる」ので過去分詞を使います。|受動的な意味の時は過去分詞です。
295,I was glad to see birds (　　) in the blue sky.,flying high,to fly high,highly fly,were highly flying,flying high,POINT077,補語になる分詞（第５文型）②,「飛んでいるのを見る」進行中の動作。
296,I saw the injured schoolboys (　　) to the hospital.,carrying,to be carried,be carried,carried,carried,POINT077,補語になる分詞（第５文型）②,「運ばれるのを見た」受動。
297,"Though he had tried to run away secretly, he was (　　) out of the house.",seen coming,seeing to come,seen come,seeing coming,seen coming,POINT077,補語になる分詞（第５文型）②,「出てくるのを見られた」
298,I couldn't make myself (　　) because the room was terribly noisy.,hearing,to hear,heard,hear,heard,POINT077,補語になる分詞（第５文型）②,「自分を理解させる」
299,"When I fell, I felt something (　　) wrong with my foot.",will go,has gone,goes,go,go,POINT077,補語になる分詞（第５文型）②,知覚動詞「〜するのを感じる」
300,"(     ) hard, you will pass the exam.",Studying,Study,Studied,To study,Studying,POINT078,分詞構文の基本,"分詞構文で条件を表しています。|= If you study hard, you will pass the exam.|文頭の分詞は条件・理由・時などを表します。"
301,"(     ) the news, she burst into tears.",Hearing,Heard,To hear,Hear,Hearing,POINT078,分詞構文の基本,"分詞構文で時を表しています。|= When she heard the news, she burst into tears.|主語が同じ場合、接続詞と主語を省略できます。"
302,They spent the summer in Niseko ( ) the beautiful scenery.,will enjoy,been enjoying,enjoyed,enjoying,enjoying,POINT078,分詞構文の基本,付帯状況を表す分詞構文。「美しい景色を楽しみながら」という意味です。
303,"( ) out of the window, we saw a car pull up at the gate.",To look,Looked,Look,Looking,Looking,POINT078,分詞構文の基本,分詞構文で「窓の外を見ると」という時を表します。主語が同じなので現在分詞を使います。
304,"Ann, ( ) a noise, went downstairs.",heard,hearing,to hear,to have heard,hearing,POINT078,分詞構文の基本,分詞構文で「音を聞いたので」という理由を表します。能動的な動作なので現在分詞を使います。
305,"( ) his coat off, he set to work.",Taken,Took,Taking,Take,Taking,POINT078,分詞構文の基本,分詞構文で「コートを脱いで、そして」という継起的な動作を表します。
306,"( ) that he had a talent for languages, he decided to train as an interpreter.",Being realized,Realize,Realizing,To realize,Realizing,POINT078,分詞構文の基本,分詞構文で「言語の才能があることに気づいたので」という理由を表します。
307,"(　　) exactly the same job, he understands my situation better.",For doing,Doing as,That we are doing,Doing,Doing,POINT078,分詞構文の基本,「同じ仕事をしているので」理由。
308,"(　　) how to study, the students decided to visit their advisor in his office.",Not knowing,Knowing not to,To not knowing,Not to knowing,Not knowing,POINT078,分詞構文の基本,「勉強の仕方がわからないので」
309,"(     ) from the hill, the city looks beautiful.",Seen,Seeing,See,To see,Seen,POINT079,分詞構文の作り方,"受動態の分詞構文です。|= When it is seen from the hill, the city...|cityは「見られる」側なので過去分詞を使います。"
310,"( ) from a distance, the rock looks like a human face.",Seeing,Seen,Having seen,To see,Seen,POINT079,分詞構文の作り方,岩は「見られる」側なので受動態の分詞構文。「遠くから見ると」という意味でSeenが正解です。
311,"( ) with this computer, that one is much easier to use.",Comparing,Compared,Compare,To compare,Compared,POINT079,分詞構文の作り方,「このコンピュータと比較すると」という受動的な意味で、過去分詞Comparedが正解です。
312,"(　　) the night before, the road was muddy.",Having rained,It having rained,It being rained,Having been rained,It having rained,POINT079,分詞構文の作り方,主語が異なるので意味上の主語を残す。
313,"(　　) from the airplane, the lake looks like a huge doughnut.",Seen,See,Seeing,Having seen,Seen,POINT079,分詞構文の作り方,「飛行機から見られると」受動の意味。
314,"(     ) no bus, we had to walk home.",There being,There is,There was,There to be,There being,POINT081,時制の不一致＆独立分詞構文,"独立分詞構文で理由を表しています。|= As there was no bus, we had to walk home.|主語が異なる場合、分詞の主語を明示します。"
315,"( ) his money, John was not able to pay for lunch.",Have lost,Having lost,He lost,Lost,Having lost,POINT081,時制の不一致＆独立分詞構文,主節の動作より前に起きたことを表す完了形の分詞構文。「お金を失っていたので」という意味です。
316,"( ) a fine day yesterday, I took my son fishing.",Being,Having been,It being,It was,It being,POINT081,時制の不一致＆独立分詞構文,主語が異なるため、独立分詞構文を使います。「昨日は良い天気だったので」という意味です。
317,"There ( ) no vacant seats on the subway, I kept on standing.",been,be,being,were,being,POINT081,時制の不一致＆独立分詞構文,There beingで始まる独立分詞構文。「空席がなかったので」という理由を表します。
318,"(　　) the joke before, I didn't find it funny the second time.",Hear,Having heard,Heard,Hearing,Having heard,POINT081,時制の不一致＆独立分詞構文,「以前聞いたことがあったので」
319,"There (　　) no available information on the crime, the police asked the mass media for cooperation.",seems,is,being,having,being,POINT081,時制の不一致＆独立分詞構文,「情報がないので」There beingの形。
320,"Weather ( ), we will play tennis.",permission,permitting,permitted,permits,permitting,POINT083,慣用的な分詞構文,weather permittingで「天気が許せば」という慣用的な独立分詞構文です。
321,"All things ( ), we can say Mary is an excellent nurse.",consider,considered,considering,to consider,considered,POINT083,慣用的な分詞構文,all things consideredで「すべてを考慮すると」という慣用的な独立分詞構文です。
322,"( ) speaking, I don't want to join the party.",Frankly,Fluently,Fluent,Frank,Frankly,POINT083,慣用的な分詞構文,frankly speakingで「率直に言うと」という慣用的な分詞構文です。副詞＋分詞の形です。
